year,month,NC,SN,CC,SC
1972,1,0,0,0,17.258
1972,2,0,0.80937,0,3.1633
1972,3,0.40469,1.7806,0.026439,0.44138
1972,4,1.2337,83.844,0,2.9799
1972,5,2.8328,221.04,0.45302,592.17
1972,6,98.909,908.27,15.155,5.5368
1972,7,1949.8,1976.4,124.17,235.26
1972,8,3606.2,1882.6,2064.3,6636.6
1972,9,656.79,598.91,0.40469,3.2731
1972,10,95.652,168.05,4.148,6.8449
1972,11,36.422,4.0469,0,0.80937
1972,12,0,0,0,5.4973
1973,1,0,0,0,0.080937
1973,2,0.40469,5.4971,0,0
1973,3,0,0,0,0
1973,4,1.1331,4.6724,0.24281,0.40469
1973,5,20.329,168.18,3.804,4.0742
1973,6,43.86,1213.6,45.363,1138.8
1973,7,3511.7,616.62,319.4,4.5767
1973,8,597.83,19836,15.955,94.657
1973,9,12534,281.93,13.516,519.8
1973,10,0,11.173,17.806,371.19
1973,11,0,0,0,20.676
1973,12,0,0,0,0.0093992
1974,1,0,0,0,0
1974,2,0,0,0,14.864
1974,3,0.40469,0.80937,0,0
1974,4,0,0.40469,0,4.0468
1974,5,4.4515,146.5,38.836,203.23
1974,6,76.647,1418.7,1014.9,116.31
1974,7,697.02,3310.3,673.15,35.593
1974,8,14.67,2869.6,76.794,4530.3
1974,9,1464.2,1113.1,159.98,1145
1974,10,58.451,675.36,15.149,14.784
1974,11,0.19765,1.7331,1.2788,10.912
1974,12,0,13.574,4.0404,2.7694
1975,1,0.40469,6.0357,0,2.5911
1975,2,0,0,0,2.0234
1975,3,0,2.4281,0,0.40469
1975,4,0,1.0019,1.2141,0.13382
1975,5,10.646,77.985,293.98,1.3675
1975,6,173.38,515.77,12.155,22.716
1975,7,704.56,1712.5,1459.6,1320.9
1975,8,923.05,7639.8,71.625,2738.3
1975,9,437.28,430.41,389.09,1655.2
1975,10,9.6144,322.77,7.5073,12.928
1975,11,0,36.017,0.42476,9977.7
1975,12,0,2.4652,0,102.27
1976,1,0,168.55,0.071719,109.53
1976,2,0,0.077565,0.19391,1.7528
1976,3,4.4515,3.7304,6.0703,25.213
1976,4,10.522,6.0703,54.435,0.40469
1976,5,24.878,99.592,2068.1,5.9301
1976,6,11311,11735,161.36,323.98
1976,7,108.54,174.48,1.974,472.54
1976,8,97.884,225.69,0,69.803
1976,9,1237.9,416.43,0.41979,18.464
1976,10,4.4667,23.653,4.6202,1.7175
1976,11,244.1,605.14,0,280.64
1976,12,16.127,61.705,9.3078,46.699
1977,1,0,2.4281,0,0
1977,2,18.181,285.45,0,0.59632
1977,3,1380.7,6.1209,0,16.333
1977,4,1054.1,137.23,0,0.71855
1977,5,2.1737,4.4515,0.068572,0.82195
1977,6,12.999,4104.1,147.79,586.01
1977,7,10.452,2017.8,228.52,967.17
1977,8,22892,9325,64830,2341.3
1977,9,69.741,360.51,1.3733,4.2872
1977,10,2.4105,20.893,0.0048562,2.8129
1977,11,0.92741,20.792,0,111.31
1977,12,1.4569,18.211,200.57,1481.4
1978,1,0,0,0,0
1978,2,0,0,0,0
1978,3,0,101.02,0,0.070146
1978,4,0,0.40469,0,0
1978,5,2.4281,15.215,0,14.208
1978,6,2.4281,165.37,28.742,30.726
1978,7,43.404,140.54,93.635,95.678
1978,8,5007.5,5478.4,3.0337,97.038
1978,9,58.1,61.495,31.213,232.98
1978,10,105.71,1205.6,0.5211,2623.9
1978,11,9.4782,4.4515,1.0218,12.444
1978,12,0.0044965,2.0234,0,0.13328
1979,1,0,0,0,0
1979,2,0,3.2375,0,0
1979,3,3.238,0.40653,46.776,14.5
1979,4,0,1.6187,0.38871,441.33
1979,5,3.5291,146.47,201.87,29.514
1979,6,190.57,4177.6,238.61,451.48
1979,7,470.66,1482.9,590.45,390.73
